aifid,inscriptions
0056ri-al001-001_DS01,
0056ri-al001-002-003_DS01,hand written in white ink pen
0056ri-al001-004-005_DS01,
0056ri-al001-004-005_DS02,[hand written in white ink pen] تذكار الشكر الدائم لنعمة الضيافة الملكية في قصر [ادفينا] [العامر] أغسطس ١٩٣١ [...]
0056ri-al001-006-007_DS01,
0056ri-al001-006-007_DS02,
0056ri-al001-008-009_DS01,
0056ri-al001-008-009_DS02,
0056ri-al001-010-011_DS01,
0056ri-al001-010-011_DS02,
0056ri-al001-012-013_DS01,
0056ri-al001-012-013_DS02,
0056ri-al001-014-015_DS01,
0056ri-al001-014-015_DS02,
0056ri-al001-016-017_DS01,
0056ri-al001-016-017_DS02,
0056ri-al001-018-019_DS01,
0056ri-al001-018-019_DS02,
0056ri-al001-020-021_DS01,
0056ri-al001-020-021_DS02,
0056ri-al001-022-023_DS01,
0056ri-al001-022-023_DS02,
0056ri-al001-024-025_DS01,
0056ri-al001-024-025_DS02,
0056ri-al001-026-027_DS01,
0056ri-al001-026-027_DS02,
0056ri-al001-028-029_DS01,
0056ri-al001-028-029_DS02,
0056ri-al001-030-031_DS01,
0056ri-al001-030-031_DS02,
0056ri-al001-032-033_DS01,
0056ri-al001-032-033_DS02,
0056ri-al001-034-035_DS01,
0056ri-al001-034-035_DS02,
0056ri-al001-036-037_DS01,
0056ri-al001-036-037_DS02,
0056ri-al001-038-039_DS01,
0056ri-al001-038-039_DS02,
0056ri-al001-040-041_DS01,
0056ri-al001-040-041_DS02,
0056ri-al001-042-043_DS01,
0056ri-al001-042-043_DS02,
0056ri-al001-044-045_DS01,
0056ri-al001-044-045_DS02,
0056ri-al001-046-047_DS01,
0056ri-al001-046-047_DS02,
0056ri-al001-048-049_DS01,
0056ri-al001-048-049_DS02,
0056ri-al001-050-051_DS01,
0056ri-al001-050-051_DS02,
0056ri-al001-052-053_DS01,
0056ri-al001-052-053_DS02,
0056ri-al001-054-055_DS01,
0056ri-al001-054-055_DS02,
0056ri-al001-056-057_DS01,
0056ri-al001-056-057_DS02,
0056ri-al001-058-059_DS01,
0056ri-al001-058-059_DS02,
0056ri-al001-060-061_DS01,
0056ri-al001-060-061_DS02,
0056ri-al001-062-063_DS01,
0056ri-al001-062-063_DS02,
0056ri-al001-064-065_DS01,
0056ri-al001-064-065_DS02,
0056ri-al001-066-067_DS01,
0056ri-al001-066-067_DS02,
0056ri-al001-068-069_DS01,
0056ri-al001-068-069_DS02,
0056ri-al001-070-071_DS01,
0056ri-al001-070-071_DS02,
0056ri-al001-072-073_DS01,
0056ri-al001-072-073_DS02,
0056ri-al001-074-075_DS01,
0056ri-al001-074-075_DS02,
0056ri-al001-076-077_DS01,
0056ri-al001-076-077_DS02,رياض شحاتة
0056ri-al001-078-079_DS01,
0056ri-al001-078-079_DS02,
0056ri-al001-080-081_DS01,
0056ri-al001-080-081_DS02,
0056ri-al001-082-083_DS01,
0056ri-al001-082-083_DS02,
0056ri-al001-084-085_DS01,
0056ri-al001-084-085_DS02,
0056ri-al001-086-087_DS01,
0056ri-al001-088-089_DS01,رياض شحاتة مصور جلالة الملك
0056ri-al001-090_DS01,